Species1,Species_new
Iridosornis porphyrocephalus,Iridosornis porphyrocephalus
Pyrrhomyias cinnamomeus,Pyrrhomyias cinnamomeus
Catharus minimus,Catharus minimus
Trogon personatus,Trogon personatus
Onychorhynchus coronatus,Onychorhynchus coronatus
Aglaiocercus coelestis,Aglaiocercus coelestis
Sporophila crassirostris ,Sporophila crassirostris
Serpophaga cinerea,Serpophaga cinerea
Pheugopedius spadix,Pheugopedius spadix
Micrastur ruficollis,Micrastur ruficollis
Cyanolyca pulchra,Cyanolyca pulchra
Sporophila nigricollis,Sporophila nigricollis
Arremon castaneiceps,Arremon castaneiceps
Mitrospingus cassinii,Mitrospingus cassinii
Malacoptila mystacalis,Malacoptila mystacalis
Ocreatus underwoodii,Ocreatus underwoodii
Rupicola peruvianus,Rupicola peruvianus
Leptopogon superciliaris,Leptopogon superciliaris
Micromonacha lanceolata,Micromonacha lanceolata
Scytalopus spillmanni,Scytalopus spillmanni
Pseudotriccus ruficeps,Pseudotriccus ruficeps
Boissonneaua jardini,Boissonneaua jardini
Cantorchilus nigricapillus,Cantorchilus nigricapillus
Troglodytes aedon,Troglodytes aedon
Cyanoloxia cyanoides,Cyanoloxia cyanoides
Nephelomyias pulcher,Nephelomyias pulcher
Aulacorhynchus prasinus,Aulacorhynchus prasinus
Entomodestes coracinus,Entomodestes coracinus
Dendrocincla tyrannina,Dendrocincla tyrannina
Rhynchocyclus fulvipectus,Rhynchocyclus fulvipectus
Sporophila sp.,Sporophila sp.
Diglossa caerulescens,Diglossa caerulescens
Premnornis guttuliger,Premnornis guttuliger
Myioborus ornatus,Myioborus ornatus
Phaetornis syrmatophorus,Phaetornis syrmatophorus
Tangara labradorides,Tangara labradorides
Sporophila funerea,Sporophila funerea
Campylorhamphus pusillus,Campylorhamphus pusillus
Glaucidium nubicola,Glaucidium nubicola
Catharus ustulatus,Catharus ustulatus
Phaethornis striigularis,Phaethornis striigularis
Masius chrysopterus,Masius chrysopterus
Eriocnemis vestita,Eriocnemis vestita
Arremon aurantiirostris,Arremon aurantiirostris
Veniliornis dignus,Veniliornis dignus
Xenops rutilans,Xenops rutilans
Coeligena wilsoni,Coeligena wilsoni
Bangsia aureocincta,Bangsia aureocincta
Atlapetes tricolor,Atlapetes tricolor
Nephelomyias pulcher,Nephelomyias pulcher
Stilpnia heinei,Stilpnia heinei
Pseudotriccus pelzelni,Pseudotriccus pelzelni
Tangara arthus,Tangara arthus
Eubucco bourcierii,Eubucco bourcierii
